<STATUS> at <TIME> (@100 ns),,push,pop,peek,clear,din,,full(exp:act),empty(exp:act),dout(exp:act)
SUCCESS at 7500 ns,,0,0,1,0,--------,,0:0,0:0,00100011:00100011
SUCCESS at 7600 ns,,1,0,0,0,00100100,,0:0,0:0,--------:00100100
SUCCESS at 7700 ns,,0,0,1,0,--------,,0:0,0:0,00100100:00100100
SUCCESS at 7800 ns,,1,0,0,0,00100101,,0:0,0:0,--------:00100101
SUCCESS at 7900 ns,,0,0,1,0,--------,,0:0,0:0,00100101:00100101
SUCCESS at 8000 ns,,1,0,0,0,00100110,,0:0,0:0,--------:00100110
SUCCESS at 8100 ns,,0,0,1,0,--------,,0:0,0:0,00100110:00100110
SUCCESS at 8200 ns,,1,0,0,0,00100111,,0:0,0:0,--------:00100111
SUCCESS at 8300 ns,,0,0,1,0,--------,,0:0,0:0,00100111:00100111
SUCCESS at 8400 ns,,1,0,0,0,00101000,,0:0,0:0,--------:00101000
SUCCESS at 8500 ns,,0,0,1,0,--------,,0:0,0:0,00101000:00101000
SUCCESS at 8600 ns,,1,0,0,0,00101001,,0:0,0:0,--------:00101001
SUCCESS at 8700 ns,,0,0,1,0,--------,,0:0,0:0,00101001:00101001
SUCCESS at 8800 ns,,1,0,0,0,00101010,,0:0,0:0,--------:00101010
SUCCESS at 8900 ns,,0,0,1,0,--------,,0:0,0:0,00101010:00101010
SUCCESS at 9000 ns,,1,0,0,0,00101011,,0:0,0:0,--------:00101011
SUCCESS at 9100 ns,,0,0,1,0,--------,,0:0,0:0,00101011:00101011
SUCCESS at 9200 ns,,1,0,0,0,00101100,,0:0,0:0,--------:00101100
SUCCESS at 9300 ns,,0,0,1,0,--------,,0:0,0:0,00101100:00101100
SUCCESS at 9400 ns,,1,0,0,0,00101101,,0:0,0:0,--------:00101101
SUCCESS at 9500 ns,,0,0,1,0,--------,,0:0,0:0,00101101:00101101
SUCCESS at 9600 ns,,1,0,0,0,00101110,,0:0,0:0,--------:00101110
SUCCESS at 9700 ns,,0,0,1,0,--------,,0:0,0:0,00101110:00101110
SUCCESS at 9800 ns,,1,0,0,0,00101111,,0:0,0:0,--------:00101111
SUCCESS at 9900 ns,,0,0,1,0,--------,,0:0,0:0,00101111:00101111
SUCCESS at 10000 ns,,1,0,0,0,00110000,,0:0,0:0,--------:00110000
SUCCESS at 10100 ns,,0,0,1,0,--------,,0:0,0:0,00110000:00110000
SUCCESS at 10200 ns,,1,0,0,0,00110001,,0:0,0:0,--------:00110001
SUCCESS at 10300 ns,,0,0,1,0,--------,,0:0,0:0,00110001:00110001
SUCCESS at 10400 ns,,1,0,0,0,00110010,,0:0,0:0,--------:00110010
SUCCESS at 10500 ns,,0,0,1,0,--------,,0:0,0:0,00110010:00110010
SUCCESS at 10600 ns,,1,0,0,0,00110011,,0:0,0:0,--------:00110011
SUCCESS at 10700 ns,,0,0,1,0,--------,,0:0,0:0,00110011:00110011
SUCCESS at 10800 ns,,1,0,0,0,00110100,,0:0,0:0,--------:00110100
SUCCESS at 10900 ns,,0,0,1,0,--------,,0:0,0:0,00110100:00110100
SUCCESS at 11000 ns,,1,0,0,0,00110101,,0:0,0:0,--------:00110101
SUCCESS at 11100 ns,,0,0,1,0,--------,,0:0,0:0,00110101:00110101
SUCCESS at 11200 ns,,1,0,0,0,00110110,,0:0,0:0,--------:00110110
SUCCESS at 11300 ns,,0,0,1,0,--------,,0:0,0:0,00110110:00110110
SUCCESS at 11400 ns,,1,0,0,0,00110111,,0:0,0:0,--------:00110111
SUCCESS at 11500 ns,,0,0,1,0,--------,,0:0,0:0,00110111:00110111
SUCCESS at 11600 ns,,1,0,0,0,00111000,,0:0,0:0,--------:00111000
SUCCESS at 11700 ns,,0,0,1,0,--------,,0:0,0:0,00111000:00111000
SUCCESS at 11800 ns,,1,0,0,0,00111001,,0:0,0:0,--------:00111001
SUCCESS at 11900 ns,,0,0,1,0,--------,,0:0,0:0,00111001:00111001
SUCCESS at 12000 ns,,1,0,0,0,00111010,,0:0,0:0,--------:00111010
SUCCESS at 12100 ns,,0,0,1,0,--------,,0:0,0:0,00111010:00111010
SUCCESS at 12200 ns,,1,0,0,0,00111011,,0:0,0:0,--------:00111011
SUCCESS at 12300 ns,,0,0,1,0,--------,,0:0,0:0,00111011:00111011
SUCCESS at 12400 ns,,1,0,0,0,00111100,,0:0,0:0,--------:00111100
SUCCESS at 12500 ns,,0,0,1,0,--------,,0:0,0:0,00111100:00111100
SUCCESS at 12600 ns,,1,0,0,0,00111101,,0:0,0:0,--------:00111101
SUCCESS at 12700 ns,,0,0,1,0,--------,,0:0,0:0,00111101:00111101
SUCCESS at 12800 ns,,1,0,0,0,00111110,,0:0,0:0,--------:00111110
SUCCESS at 12900 ns,,0,0,1,0,--------,,0:0,0:0,00111110:00111110
SUCCESS at 13000 ns,,1,0,0,0,00111111,,0:0,0:0,--------:00111111
SUCCESS at 13100 ns,,0,0,1,0,--------,,0:0,0:0,00111111:00111111
